,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Conduit
0,137.0,22.0,25.0,13.0,15.0,14.0,14.0,111.0,231.0,308.0,326.0,334.0,278.0,285.0,489.0,601.0,606.0,760.0,768.0,771.0,755.0,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,Sk-0
1,13.0,15.0,14.0,14.0,111.0,231.0,308.0,326.0,334.0,278.0,285.0,489.0,601.0,606.0,760.0,768.0,771.0,755.0,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,Sk-0
2,14.0,111.0,231.0,308.0,326.0,334.0,278.0,285.0,489.0,601.0,606.0,760.0,768.0,771.0,755.0,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,Sk-0
3,308.0,326.0,334.0,278.0,285.0,489.0,601.0,606.0,760.0,768.0,771.0,755.0,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,Sk-0
4,278.0,285.0,489.0,601.0,606.0,760.0,768.0,771.0,755.0,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,Sk-0
5,601.0,606.0,760.0,768.0,771.0,755.0,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,Sk-0
6,768.0,771.0,755.0,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,Sk-0
7,757.0,799.0,767.0,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,Sk-0
8,811.0,990.294261,658.179573,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,Sk-0
9,819.56291,680.391599,637.241291,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,Sk-0
10,724.673488,757.907223,763.460509,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,Sk-0
11,752.020799,518.206395,428.39527,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,Sk-0
12,561.93797,594.605867,597.545523,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,Sk-0
13,627.172596,585.160164,572.949329,673.808794,892.407665,746.249744,838.182938,847.429241,820.057866,1224.57858,948.134325,766.174395,714.829021,638.242944,1043.814598,772.279103,1559.974675,1698.071623,1444.786698,1477.658215,1477.341214,1186.310543,1398.006482,1395.00084,1138.191313,1323.200857,1332.569691,1328.271719,1224.008148,1147.70657,Sk-0
